Analysis,N Q2 genomes,N phylogroups,N features,Mean AUROC,AUROC 95% CI,BH p_adj,Significant
Full EC complex,372,—,68,0.7811,[0.704–0.843],0.0012,Yes
E. hormaechei sensu stricto,181,33,65,0.6484,[0.554–0.718],—,Yes
