Species,Feature,Category,ρ (within-phylogroup),p (within-phylogroup),Survives robustness gate,Direction
K. pneumoniae,Mokosh_TypeI_A,named,-0.013,7.7162e-01,No,Restrictive
K. pneumoniae,PD-T4-3,named,0.0154,7.2960e-01,No,Facilitative
K. pneumoniae,PD-T4-5,named,0.0551,2.1706e-01,No,Facilitative
K. pneumoniae,PD-T4-6,named,-0.0042,9.2471e-01,No,Restrictive
K. pneumoniae,PD-T7-4,named,-0.0085,8.4885e-01,No,Restrictive
K. pneumoniae,PrrC,named,0.0951,3.2766e-02,Yes,Facilitative
K. pneumoniae,RM_Type_I,named,0.0622,1.6329e-01,No,Facilitative
K. pneumoniae,RM_Type_II,named,0.3883,1.3931e-19,Yes,Facilitative
K. pneumoniae,Retron_I-B,named,0.019,6.7120e-01,No,Facilitative
K. pneumoniae,Rst_3HP,named,0.0218,6.2593e-01,No,Facilitative
K. pneumoniae,Shango,named,0.1057,1.7609e-02,Yes,Facilitative
K. pneumoniae,Zorya_I,named,0.0034,9.3926e-01,No,Facilitative
K. pneumoniae,cas_type_other,catch-all,0.1609,2.8592e-04,Yes,Facilitative
K. pneumoniae,cbass_other,catch-all,0.0852,5.5990e-02,No,Facilitative
K. pneumoniae,df_DS-32,DS-N,-0.0625,1.6091e-01,No,Restrictive
K. pneumoniae,df_FS_HP,named,0.1125,1.1507e-02,Yes,Facilitative
K. pneumoniae,df_GAPS1,named,0.0323,4.6927e-01,No,Facilitative
K. pneumoniae,df_Lamassu-Lipase,named,-0.0394,3.7711e-01,No,Restrictive
K. pneumoniae,df_Lamassu-Mrr,named,0.0356,4.2493e-01,No,Facilitative
K. pneumoniae,df_MazEF,named,0.1638,2.2076e-04,Yes,Facilitative
K. pneumoniae,df_Mok_Hok_Sok,named,0.2413,4.1488e-08,Yes,Facilitative
K. pneumoniae,df_NLR_like_bNACHT01,named,0.0292,5.1258e-01,No,Facilitative
K. pneumoniae,df_PD-T7-1,named,-0.0061,8.9118e-01,No,Restrictive
K. pneumoniae,df_TgvAB,named,0.304,3.0927e-12,Yes,Facilitative
K. pneumoniae,df_VP1851,named,0.0911,4.0988e-02,Yes,Facilitative
K. pneumoniae,padloc_PD-T7-1or5,named,-0.0061,8.9118e-01,No,Restrictive
K. pneumoniae,padloc_PDC-M38,PDC,0.0367,4.1061e-01,No,Facilitative
K. pneumoniae,padloc_PDC-S11,PDC,0.0854,5.5333e-02,No,Facilitative
K. pneumoniae,padloc_PDC-S15,PDC,0.087,5.0915e-02,No,Facilitative
K. pneumoniae,padloc_PDC-S21,PDC,0.0271,5.4367e-01,No,Facilitative
K. pneumoniae,padloc_PDC-S29,PDC,0.0911,4.0988e-02,Yes,Facilitative
K. pneumoniae,padloc_PDC-S31,PDC,0.213,1.3989e-06,Yes,Facilitative
K. pneumoniae,padloc_PDC-S36,PDC,0.123,5.6840e-03,Yes,Facilitative
K. pneumoniae,padloc_PDC-S67,PDC,0.193,1.2782e-05,Yes,Facilitative
P. aeruginosa,AbiD,named,0.0023,9.5564e-01,No,Facilitative
P. aeruginosa,CBASS_II,named,0.1513,1.9970e-04,Yes,Facilitative
P. aeruginosa,Druantia_II,named,0.0501,2.2084e-01,No,Facilitative
P. aeruginosa,Druantia_III,named,0.0737,7.1163e-02,No,Facilitative
P. aeruginosa,Gao_Qat,named,0.0709,8.2512e-02,No,Facilitative
P. aeruginosa,HEC-05,named,0.164,5.4373e-05,Yes,Facilitative
P. aeruginosa,Hachiman,named,0.0998,1.4493e-02,Yes,Facilitative
P. aeruginosa,Mokosh_TypeII,named,0.0406,3.2090e-01,No,Facilitative
P. aeruginosa,Mokosh_TypeI_A,named,0.1679,3.5904e-05,Yes,Facilitative
P. aeruginosa,PrrC,named,0.0093,8.2085e-01,No,Facilitative
P. aeruginosa,PsyrTA,named,0.1233,2.4842e-03,Yes,Facilitative
P. aeruginosa,RM_Type_I,named,0.0789,5.3527e-02,No,Facilitative
P. aeruginosa,RM_Type_II,named,0.0355,3.8602e-01,No,Facilitative
P. aeruginosa,RM_Type_IIG,named,0.03,4.6386e-01,No,Facilitative
P. aeruginosa,RM_Type_III,named,0.082,4.4734e-02,Yes,Facilitative
P. aeruginosa,RosmerTA,named,0.0094,8.1840e-01,No,Facilitative
P. aeruginosa,Rst_Helicase,named,0.0172,6.7361e-01,No,Facilitative
P. aeruginosa,Shango,named,0.0335,4.1213e-01,No,Facilitative
P. aeruginosa,Wadjet_I,named,-0.1043,1.0609e-02,Yes,Restrictive
P. aeruginosa,Zorya_I,named,0.0271,5.0698e-01,No,Facilitative
P. aeruginosa,cbass_other,catch-all,0.1572,1.0997e-04,Yes,Facilitative
P. aeruginosa,df_Nantosuelta,named,0.048,2.4054e-01,No,Facilitative
P. aeruginosa,df_Prithvi,named,-0.0562,1.6936e-01,No,Restrictive
P. aeruginosa,df_RM_Type_IIG_2,named,0.0761,6.2492e-02,No,Facilitative
P. aeruginosa,df_RM_Type_IV_1,named,0.0771,5.9174e-02,No,Facilitative
P. aeruginosa,df_RloC,named,0.115,4.7798e-03,Yes,Facilitative
P. aeruginosa,df_RnlAB,named,0.081,4.7453e-02,Yes,Facilitative
P. aeruginosa,pAgo_I,named,0.0389,3.4115e-01,No,Facilitative
P. aeruginosa,padloc_PDC-M30,PDC,0.0802,4.9639e-02,Yes,Facilitative
P. aeruginosa,padloc_PDC-S02,PDC,0.0947,2.0367e-02,Yes,Facilitative
P. aeruginosa,padloc_PDC-S05,PDC,0.1456,3.4588e-04,Yes,Facilitative
P. aeruginosa,padloc_PDC-S06,PDC,0.1077,8.2763e-03,Yes,Facilitative
P. aeruginosa,padloc_PDC-S09,PDC,0.0004,9.9227e-01,No,Facilitative
P. aeruginosa,padloc_PDC-S11,PDC,0.0927,2.3179e-02,Yes,Facilitative
P. aeruginosa,padloc_PDC-S21,PDC,0.0497,2.2449e-01,No,Facilitative
P. aeruginosa,padloc_PDC-S24,PDC,0.3226,5.3397e-16,Yes,Facilitative
P. aeruginosa,padloc_ietAS,named,0.0765,6.0985e-02,No,Facilitative
S. aureus,AVAST_II,named,-0.0272,5.0532e-01,No,Restrictive
S. aureus,AbiD,named,0.1602,8.0692e-05,Yes,Facilitative
S. aureus,Dodola,named,-0.0059,8.8464e-01,No,Restrictive
S. aureus,Gabija,named,0.0146,7.2074e-01,No,Facilitative
S. aureus,Lamassu,named,-0.0001,9.9817e-01,No,Restrictive
S. aureus,PD-Lambda-1,named,0.0215,5.9863e-01,No,Facilitative
S. aureus,RM_Type_IIG,named,-0.0218,5.9406e-01,No,Restrictive
S. aureus,RM_Type_IV,named,-0.0161,6.9416e-01,No,Restrictive
S. aureus,Retron_III-A,named,0.0169,6.7909e-01,No,Facilitative
S. aureus,Stk2,named,0.268,2.4800e-11,Yes,Facilitative
S. aureus,Thoeris_I,named,0.0435,2.8736e-01,No,Facilitative
S. aureus,df_Abi2,named,-0.0366,3.7120e-01,No,Restrictive
S. aureus,df_AbiJ,named,0.0265,5.1759e-01,No,Facilitative
S. aureus,df_Avs_II,named,-0.0379,3.5351e-01,No,Restrictive
S. aureus,padloc_PDC-M24,PDC,-0.0128,7.5451e-01,No,Restrictive
S. aureus,padloc_PDC-S07,PDC,-0.022,5.9037e-01,No,Restrictive
S. aureus,padloc_SoFic,named,0.0101,8.0503e-01,No,Facilitative
